sequence,busstop_id
0,94019
1,93041
2,93049
3,93031
4,93089
5,93121
6,93201
7,93159
8,93039
9,93161
10,93169
11,93149
12,93151
13,93131
14,84121
15,84161
16,84041
17,84049
18,84169
19,84139
20,84029
21,84011
22,84019
23,83171
24,83179
25,92159
26,92151
27,92149
28,92071
29,92079
30,92279
31,92271
32,92061
33,92069
34,92231
35,92239
36,83311
37,83319
38,83309
39,92139
40,92301
41,92309
42,92131
43,83131
44,83149
45,83141
46,83049
47,83321
48,83062
49,83329
50,83063
51,83081
52,83099
53,83371
54,83381
55,83011
56,82009
57,82049
58,82151
59,82159
60,82221
61,82033
62,71209
63,71219
64,71211
65,81101
66,81111
67,81119
68,81109
69,70201
70,70371
71,70251
72,70259
73,70211
74,81211
75,81209
76,81201
77,81219
78,81051
79,82091
80,82079
81,82129
82,82121
83,82131
84,82149
85,82171
86,82109
87,82011
88,82032
89,83111
90,83119
91,92209
92,92201
93,83121
94,83129
95,92141
96,92219
97,92211
98,93171
99,93199
100,93021
101,93179
102,93189
103,92081
104,93011
105,93029
106,93019
107,92199
108,93181
109,92191
110,92289
111,92221
112,92229
113,92089
114,93051
115,83139
116,83159
117,83151
118,83029
119,83299
120,83169
121,82181
122,83291
123,83031
124,83331
125,83191
126,83181
127,83209
128,83201
129,83059
130,83079
131,83199
132,83189
133,83219
134,93061
135,93079
136,93071
137,93081
138,84159
139,84151
140,93091
141,93099
142,93139
143,94011
144,94089
145,94099
146,94059
147,94061
148,94069
149,85029
150,85019
151,85021
152,94071
153,94079
154,94009
155,94051
156,94049
157,84669
158,94041
159,84679
160,84671
161,84661
162,84109
163,84101
164,84071
165,84079
166,84691
167,84681
168,85099
169,85091
170,85039
171,85059
172,85051
173,84249
174,84239
175,84231
176,84259
177,84271
178,84269
179,84251
180,84221
181,84229
182,84529
183,84211
184,84359
185,84039
186,83271
187,83281
188,84131
189,84129
190,84119
191,84111
192,84141
193,84089
194,84281
195,84289
196,84191
197,84199
198,84219
199,84351
200,84521
201,84311
202,84319
203,84371
204,84321
205,84349
206,84341
207,84421
208,84429
209,84381
210,84561
211,84571
212,84579
213,84569
214,84641
215,84649
216,84559
217,84551
218,83229
219,93109
220,93101
221,93069
222,93129
223,93059
224,93111
225,93119
226,83231
227,83239
228,83249
229,83269
230,83251
231,83279
232,83261
233,84021
234,84589
235,84581
236,84379
237,84411
238,84419
239,84449
240,84201
241,75349
242,84609
243,84631
244,84611
245,84619
246,84629
247,84639
248,84601
249,75341
250,75069
251,75051
252,75059
253,76071
254,76111
255,76289
256,76281
257,75229
258,75221
259,75239
260,75249
261,75241
262,75231
263,84261
264,84279
265,84599
266,84591
267,96151
268,96159
269,76081
270,76329
271,76291
272,76179
273,76171
274,76089
275,76099
276,96121
277,96181
278,96189
279,96161
280,96169
281,96149
282,96141
283,96269
284,96179
285,96261
286,96139
287,96131
288,96129
289,76411
290,76419
291,76429
292,76241
293,76249
294,78161
295,78169
296,78061
297,78069
298,78079
299,78171
300,78179
301,78071
302,77051
303,77369
304,77361
305,77351
306,77359
307,77349
308,77039
309,77371
310,77009
311,77321
312,77329
313,77029
314,77021
315,77031
316,77049
317,77041
318,77059
319,78241
320,78101
321,78231
322,78151
323,78159
324,78209
325,78141
326,78149
327,78201
328,78131
329,78221
330,78229
331,78121
332,78269
333,78259
334,78251
335,78261
336,78271
337,78279
338,98209
339,98219
340,98229
341,98151
342,98079
343,98071
344,98161
345,98139
346,98051
347,98231
348,98239
349,98121
350,78139
351,78129
352,78099
353,77109
354,77101
355,77099
356,77119
357,77111
358,77129
359,77091
360,77089
361,77079
362,77219
363,77259
364,77251
365,77221
366,77279
367,65569
368,65561
369,65321
370,65329
371,65269
372,65261
373,65239
374,65231
375,65429
376,65171
377,65279
378,65419
379,65411
380,65271
381,65281
382,65221
383,65219
384,65201
385,67259
386,67251
387,65061
388,65069
389,65059
390,67119
391,67111
392,67181
393,67759
394,67189
395,67109
396,67241
397,67249
398,67421
399,64729
400,67319
401,67769
402,67761
403,67291
404,67461
405,67349
406,67199
407,67341
408,67191
409,67169
410,67161
411,67729
412,67721
413,65019
414,65011
415,64029
416,64021
417,64039
418,64071
419,64379
420,64371
421,62261
422,64421
423,64429
424,64041
425,64049
426,64019
427,64551
428,64521
429,64529
430,64331
431,64399
432,64391
433,64549
434,64381
435,64389
436,64541
437,64009
438,63069
439,63241
440,63061
441,63249
442,63071
443,63079
444,64201
445,63059
446,63349
447,63341
448,63351
449,63379
450,63321
451,63329
452,63201
453,63209
454,63191
455,63199
456,63181
457,66319
458,66131
459,66129
460,66151
461,66271
462,66139
463,66329
464,66321
465,66311
466,66109
467,66421
468,66521
469,66529
470,66509
471,54511
472,54529
473,54521
474,54599
475,54591
476,54501
477,54499
478,54491
479,54641
480,54659
481,54651
482,54509
483,54581
484,54589
485,54439
486,67029
487,67021
488,67019
489,55109
490,55101
491,55081
492,59751
493,59581
494,59761
495,59299
496,59291
497,59589
498,59639
499,59631
500,59359
501,59351
502,59651
503,59391
504,59641
505,59649
506,59621
507,59191
508,59199
509,59189
510,59181
511,59209
512,59201
513,59241
514,59169
515,59689
516,59079
517,59072
518,59073
519,58991
520,59339
521,59081
522,59549
523,57061
524,57069
525,59041
526,59049
527,59059
528,59569
529,59429
530,59481
531,59501
532,55051
533,55059
534,55041
535,55049
536,55071
537,55079
538,55089
539,67011
540,68019
541,68011
542,67081
543,67089
544,67039
545,67049
546,67041
547,67659
548,67651
549,67051
550,67059
551,67061
552,67069
553,66561
554,66569
555,66559
556,66551
557,66589
558,66581
559,65801
560,65809
561,67549
562,67541
563,67379
564,67371
565,67581
566,67369
567,67589
568,67391
569,67311
570,67399
571,67381
572,67389
573,67359
574,67361
575,67629
576,64579
577,64571
578,64439
579,64431
580,64361
581,64369
582,64031
583,67719
584,67711
585,67219
586,67179
587,67171
588,67731
589,67739
590,67501
591,67131
592,67519
593,67509
594,65031
595,65039
596,67141
597,65029
598,67139
599,67121
600,67129
601,67229
602,67671
603,65169
604,65179
605,67221
606,65199
607,65191
608,67231
609,67239
610,65049
611,65041
612,67101
613,67409
614,67009
615,67411
616,67599
617,67421
618,67429
619,65431
620,65439
621,65551
622,65559
623,65541
624,65549
625,68209
626,68201
627,68239
628,68131
629,68159
630,68151
631,68141
632,68149
633,68129
634,68121
635,68139
636,68161
637,68169
638,68099
639,68091
640,68061
641,68089
642,68109
643,68101
644,68081
645,68091
646,68099
647,68069
648,68119
649,68051
650,68039
651,67571
652,67579
653,68021
654,67491
655,67499
656,67289
657,67281
658,67489
659,67481
660,67471
661,67321
662,66609
663,66601
664,66579
665,66571
666,64561
667,64601
668,64609
669,64461
670,64619
671,64611
672,66499
673,66491
674,66541
675,66481
676,66489
677,66619
678,66611
679,67479
680,67559
681,67551
682,67701
683,68111
684,68059
685,68049
686,68031
687,67991
688,67999
689,68029
690,67741
691,67561
692,67569
693,67329
694,67301
695,67309
696,67451
697,64621
698,64629
699,64441
700,67459
701,67299
702,67469
703,67351
704,67449
705,67441
706,67401
707,67419
708,67431
709,67439
710,65579
711,65339
712,65331
713,65499
714,65491
715,65571
716,65539
717,65531
718,67649
719,67691
720,67699
721,67641
722,67591
723,65341
724,65349
725,65209
726,65071
727,65079
728,65159
729,65241
730,65249
731,65161
732,65151
733,65081
734,65089
735,65229
736,65109
737,65489
738,65481
739,65101
740,65639
741,65631
742,65689
743,65139
744,65129
745,65681
746,65661
747,65621
748,65611
749,65619
750,65679
751,65671
752,65459
753,65451
754,65609
755,65401
756,65601
757,65449
758,65441
759,65149
760,65141
761,65409
762,65251
763,65259
764,65359
765,65351
766,65099
767,65091
768,65289
769,65009
770,65461
771,65469
772,65641
773,65651
774,65629
775,65111
776,65119
777,65309
778,65301
779,65381
780,65389
781,65391
782,65399
783,65311
784,65319
785,65371
786,65379
787,65189
788,65181
789,64191
790,64199
791,64181
792,64189
793,64171
794,64179
795,67661
796,67529
797,67531
798,67539
799,67159
800,64401
801,64409
802,67511
803,67521
804,67151
805,64061
806,62251
807,64079
808,64051
809,64059
810,64311
811,64249
812,64231
813,64211
814,64209
815,73019
816,64149
817,64159
818,64141
819,64139
820,72159
821,84709
822,84701
823,72131
824,72141
825,72149
826,84461
827,84469
828,84479
829,84621
830,84471
831,84391
832,84369
833,84361
834,84309
835,84008
836,84031
837,84009
838,84091
839,84301
840,84541
841,84549
842,72039
843,72049
844,71299
845,71131
846,71091
847,71099
848,71101
849,71109
850,71111
851,71201
852,70409
853,70081
854,70099
855,70261
856,70181
857,70381
858,70279
859,70161
860,70151
861,70021
862,60061
863,60221
864,60229
865,60079
866,70031
867,70119
868,70111
869,70049
870,70041
871,70139
872,70131
873,70149
874,70141
875,70281
876,70289
877,70299
878,70301
879,62019
880,62021
881,62029
882,62031
883,62039
884,62089
885,62079
886,62169
887,62161
888,62081
889,62151
890,62159
891,62171
892,62179
893,66041
894,66111
895,66121
896,66251
897,54299
898,54429
899,66211
900,66291
901,66221
902,54309
903,54301
904,54519
905,54291
906,54389
907,54381
908,54091
909,54081
910,54089
911,54331
912,54339
913,54269
914,54401
915,54441
916,54359
917,54479
918,54279
919,54329
920,54321
921,54371
922,54379
923,54601
924,54319
925,54099
926,53241
927,53249
928,53399
929,53301
930,53221
931,53219
932,53211
933,53309
934,53419
935,53409
936,53281
937,53289
938,53279
939,53269
940,54539
941,54311
942,54271
943,54261
944,54009
945,54241
946,54239
947,54229
948,54219
949,54211
950,54169
951,56289
952,56241
953,56249
954,56199
955,56031
956,56019
957,56011
958,53091
959,53071
960,41169
961,41019
962,41011
963,41119
964,41111
965,41029
966,41021
967,40211
968,40219
969,40221
970,40229
971,40191
972,40171
973,8121
974,9037
975,9048
976,9213
977,9179
978,9169
979,9121
980,9191
981,9149
982,9141
983,9131
984,13201
985,40201
986,40209
987,40071
988,40081
989,40091
990,40099
991,51091
992,51099
993,51109
994,51011
995,50059
996,50111
997,50129
998,50229
999,50211
1000,50189
1001,51021
1002,51039
1003,51031
1004,51029
1005,51019
1006,52241
1007,51081
1008,51089
1009,52169
1010,52201
1011,52209
1012,52179
1013,52159
1014,52151
1015,52161
1016,52171
1017,52449
1018,52369
1019,52539
1020,52351
1021,52439
1022,52391
1023,61089
1024,60261
1025,60209
1026,60219
1027,60211
1028,70359
1029,70361
1030,70341
1031,70349
1032,70039
1033,70029
1034,70221
1035,70191
1036,70379
1037,70269
1038,71161
1039,71169
1040,71221
1041,71229
1042,71159
1043,70091
1044,70271
1045,71151
1046,70089
1047,71179
1048,71029
1049,71021
1050,71171
1051,71011
1052,71059
1053,70071
1054,71081
1055,70079
1056,71089
1057,72051
1058,72031
1059,72139
1060,71189
1061,71181
1062,71051
1063,70291
1064,70121
1065,70129
1066,62071
1067,62069
1068,62061
1069,70309
1070,62249
1071,62241
1072,62239
1073,62259
1074,73041
1075,73049
1076,71049
1077,71191
1078,71061
1079,71069
1080,71079
1081,71071
1082,71041
1083,71031
1084,71331
1085,71339
1086,71291
1087,72059
1088,72029
1089,72021
1090,72081
1091,72041
1092,72089
1093,72061
1094,72069
1095,72079
1096,72071
1097,84511
1098,84491
1099,84481
1100,84489
1101,72169
1102,72161
1103,72151
1104,84459
1105,84499
1106,84451
1107,84539
1108,84501
1109,83361
1110,83351
1111,83341
1112,72019
1113,72011
1114,71139
1115,70401
1116,71121
1117,71129
1118,71149
1119,71141
1120,71119
1121,83109
1122,83101
1123,82061
1124,82069
1125,82229
1126,82179
1127,82141
1128,83301
1129,92121
1130,92129
1131,92051
1132,92059
1133,92251
1134,92049
1135,92041
1136,92119
1137,92111
1138,92181
1139,92189
1140,92179
1141,92171
1142,82139
1143,82029
1144,82119
1145,82111
1146,81129
1147,81221
1148,81229
1149,70171
1150,70231
1151,70241
1152,81099
1153,80231
1154,80239
1155,70311
1156,70319
1157,70011
1158,70019
1159,81091
1160,81081
1161,81231
1162,81031
1163,81011
1164,80091
1165,80089
1166,80259
1167,80279
1168,81189
1169,81181
1170,81199
1171,81141
1172,81191
1173,82081
1174,82089
1175,82099
1176,82231
1177,81131
1178,81139
1179,81069
1180,81049
1181,81029
1182,81089
1183,80249
1184,80289
1185,80269
1186,80229
1187,70321
1188,70329
1189,70101
1190,61021
1191,61011
1192,61019
1193,61119
1194,61039
1195,61029
1196,61111
1197,70061
1198,70069
1199,61031
1200,61049
1201,62111
1202,62119
1203,66409
1204,66391
1205,66401
1206,66399
1207,66021
1208,66019
1209,66011
1210,66029
1211,66091
1212,66099
1213,66031
1214,66039
1215,66051
1216,63189
1217,66141
1218,66149
1219,63361
1220,63179
1221,63169
1222,62149
1223,63141
1224,63151
1225,63159
1226,63011
1227,62051
1228,63019
1229,62059
1230,63031
1231,63261
1232,63269
1233,63239
1234,63231
1235,63291
1236,63299
1237,63271
1238,63131
