+------------------------------------------------------------------------------------------------------------------+----+
|title                                                                                                             |year|
+------------------------------------------------------------------------------------------------------------------+----+
|Data Change Exploration Using Time Series Clustering.                                                             |2018|
|From Rocks to Pebbles: Smoothing Spatiotemporal Data Streams in an Overlay of Sensors.                            |2019|
|Robust Entity Resolution Using a CrowdOracle.                                                                     |2018|
|Data Quality for Temporal Streams.                                                                                |2016|
|Big Data Integration for Product Specifications.                                                                  |2018|
|Letter from the Special Issue Editors.                                                                            |2016|
|Explanation Tables.                                                                                               |2018|
|Letter from the Impact Award Winner.                                                                              |2021|
|Ensuring High-Quality Private Data for Responsible Data Science: Vision and Challenges.                           |2019|
|Effective Discovery of Meaningful Outlier Relationships.                                                          |2020|
|Efficient Signal Reconstruction for a Broad Range of Applications.                                                |2019|
|Data Quality: The Role of Empiricism.                                                                             |2017|
|Effective Keyword Search Over Weighted Graphs.                                                                    |2022|
|Constrained Private Mechanisms for Count Data.                                                                    |2021|
|Discovering Conservation Rules.                                                                                   |2014|
|Indexing Evolving Events from Tweet Streams.                                                                      |2015|
|Efficient and Effective ER with Progressive Blocking.                                                             |2020|
|Alaska: A Flexible Benchmark for Data Integration Tasks.                                                          |2021|
|Truth Finding on the Deep Web: Is the Problem Solved?                                                             |2015|
|Errata Note: Discovering Order Dependencies through Order Compatibility.                                          |2019|
|Online Event Integration with StoryPivot.                                                                         |2016|
|Effective and Complete Discovery of Order Dependencies via Set-based Axiomatization.                              |2016|
|Constrained Differential Privacy for Count Data.                                                                  |2017|
|Data Fusion: Resolving Conflicts from Multiple Sources.                                                           |2015|
|Answering Range Queries Under Local Differential Privacy.                                                         |2018|
|Discovery of Band Order Dependencies.                                                                             |2019|
|Random Sampling for Group-By Queries.                                                                             |2019|
|Scaling Private Record Linkage using Output Constrained Differential Privacy.                                     |2017|
|Scaling up Copy Detection.                                                                                        |2015|
|Efficient Discovery of Approximate Order Dependencies.                                                            |2021|
|Local Dampening: Differential Privacy for Non-numeric Queries via Local Sensitivity.                              |2020|
|Robust Group Linkage.                                                                                             |2015|
|DataExposer: Exposing Disconnect between Data and Systems.                                                        |2021|
|Effective Explanations for Entity Resolution Models.                                                              |2022|
|Variance-Optimal Offline and Streaming Stratified Random Sampling.                                                |2018|
|Discovering Domain Orders through Order Dependencies.                                                             |2020|
|Efficient Discovery of Meaningful Outlier Relationships.                                                          |2019|
|Fusing Data with Correlations.                                                                                    |2015|
|Marginal Release Under Local Differential Privacy.                                                                |2017|
|Real-World Trajectory Sharing with Local Differential Privacy.                                                    |2021|
|Estimating Quantiles from the Union of Historical and Streaming Data.                                             |2016|
|Front Matter.                                                                                                     |2013|
|Exploring Change - A New Dimension of Data Analytics.                                                             |2018|
|REGAL+: Reverse Engineering SPJA Queries.                                                                         |2018|
|DEXTER: Large-Scale Discovery and Extraction of Product Specifications on the Web.                                |2015|
|Incremental Record Linkage.                                                                                       |2014|
|Orca-SR: A Real-Time Traffic Engineering Framework leveraging Similarity Joins.                                   |2020|
|Effective and Complete Discovery of Order Dependencies via Set-based Axiomatization.                              |2017|
|Big Data Integration.                                                                                             |2013|
|TreeScope: Finding Structural Anomalies In Semi-Structured Data.                                                  |2015|
|Combining Quantitative and Logical Data Cleaning.                                                                 |2015|
|POEM: Pattern-Oriented Explanations of CNN Models.                                                                |2022|
|Data-Driven Domain Discovery for Structured Datasets.                                                             |2020|
|On Repairing Structural Problems In Semi-structured Data.                                                         |2013|
|Local Dampening: Differential Privacy for Non-numeric Queries via Local Sensitivity.                              |2020|
|Reverse Engineering Aggregation Queries.                                                                          |2017|
|Real-World Trajectory Sharing with Local Differential Privacy.                                                    |2021|
|Leveraging Similarity Joins for Signal Reconstruction.                                                            |2018|
|CERTEM: Explaining and Debugging Black-box Entity Resolution Systems with CERTA.                                  |2022|
|Online Entity Resolution Using an Oracle.                                                                         |2016|
|DPT: Differentially Private Trajectory Synthesis Using Hierarchical Reference Systems.                            |2015|
|Front Matter.                                                                                                     |2014|
|Online Ordering of Overlapping Data Sources.                                                                      |2013|
