+----+-----+
|year|count|
+----+-----+
|2022|17   |
|2021|17   |
|2020|13   |
|2019|17   |
|2018|18   |
|2017|16   |
|2016|7    |
|2015|22   |
|2014|10   |
|2013|13   |
|2012|17   |
|2011|15   |
|2010|35   |
|2009|43   |
|2008|26   |
|2007|18   |
|2006|20   |
|2005|21   |
|2004|15   |
|2003|34   |
|2002|23   |
|2001|13   |
|2000|19   |
|1999|13   |
|1998|9    |
|1997|2    |
|1996|16   |
|1995|8    |
|1994|13   |
|1993|14   |
|1992|8    |
|1991|4    |
|1990|4    |
|0   |1    |
|null|1    |
+----+-----+
